time,max_sell,max_buy,max_sell_interval,max_buy_interval
2018-12-02 22:00:00,0.0,0.0,0,0
2018-12-02 22:05:00,3.6,0.0,40,0
2018-12-02 22:10:00,6.3,0.0,35,0
2018-12-02 22:15:00,4.2,0.1,30,9
2018-12-02 22:20:00,4.7,3.2,25,4
2018-12-02 22:25:00,8.1,0.0,20,0
2018-12-02 22:30:00,2.3,0.0,15,0
2018-12-02 22:35:00,4.6,0.0,10,0
2018-12-02 22:40:00,2.5,1.6,5,10
2018-12-02 22:45:00,4.3,4.0,0,44
2018-12-02 22:50:00,0.8,10.6,8,43
2018-12-02 22:55:00,0.2,10.9,3,41
2018-12-02 23:00:00,0.0,12.0,0,36
2018-12-02 23:05:00,0.7,11.7,4,31
2018-12-02 23:10:00,0.0,12.5,0,26
2018-12-02 23:15:00,0.0,12.3,0,44
2018-12-02 23:20:00,0.0,11.9,0,39
2018-12-02 23:25:00,0.0,9.0,0,34
2018-12-02 23:30:00,0.5,4.4,33,29
2018-12-02 23:35:00,3.7,1.2,28,44
2018-12-02 23:40:00,1.9,4.1,23,40
2018-12-02 23:45:00,0.0,5.7,0,35
2018-12-02 23:50:00,2.3,4.4,13,44
2018-12-02 23:55:00,3.5,7.4,8,44
2018-12-03 00:00:00,5.3,5.8,3,40
2018-12-03 00:05:00,0.0,12.7,0,42
2018-12-03 00:10:00,0.0,16.7,0,44
2018-12-03 00:15:00,0.0,15.0,0,40
2018-12-03 00:20:00,1.4,13.5,2,34
2018-12-03 00:25:00,0.0,14.9,0,29
2018-12-03 00:30:00,0.6,12.4,0,24
2018-12-03 00:35:00,0.0,11.5,0,20
2018-12-03 00:40:00,0.3,8.9,5,15
2018-12-03 00:45:00,2.2,7.0,0,10
2018-12-03 00:50:00,0.0,7.1,0,5
2018-12-03 00:55:00,3.5,1.1,7,0
2018-12-03 01:00:00,1.9,1.9,2,8
2018-12-03 01:05:00,2.0,1.9,14,3
2018-12-03 01:10:00,3.5,0.0,9,0
2018-12-03 01:15:00,3.8,0.4,44,22
2018-12-03 01:20:00,0.9,3.2,39,17
2018-12-03 01:25:00,0.8,5.4,34,44
2018-12-03 01:30:00,2.7,5.5,29,44
2018-12-03 01:35:00,1.8,7.3,24,41
2018-12-03 01:40:00,2.7,6.0,19,36
2018-12-03 01:45:00,3.4,7.4,14,43
2018-12-03 01:50:00,1.1,12.4,9,42
2018-12-03 01:55:00,2.0,11.3,4,37
